t,true_vol,est_vol_fast,est_vol_smooth,true_log_vol,est_log_vol_fast,est_log_vol_smooth,true_regime,est_regime_fast,est_regime_smooth,regime_confidence,surprise,entropy,vol_ratio,ess,detected,change_type
0,0.038925,0.039180,0.039180,-3.2461,-3.2396,-3.2396,1,1,1,0.278,0.9608,1.3825,1.0000,255.4,0,0
1,0.037059,0.043685,0.043685,-3.2953,-3.1308,-3.1308,1,2,2,0.272,0.7736,1.3826,1.0092,255.0,1,1
2,0.038000,0.040638,0.040638,-3.2702,-3.2030,-3.2030,1,1,1,0.296,0.7335,1.3758,1.0110,254.9,1,1
3,0.044409,0.036769,0.036769,-3.1143,-3.3031,-3.3031,1,1,1,0.308,0.8309,1.3721,1.0048,253.8,0,0
4,0.039889,0.054704,0.054704,-3.2217,-2.9058,-2.9058,1,1,1,0.294,1.6529,1.3698,1.0355,252.8,0,0
5,0.043957,0.048252,0.048252,-3.1245,-3.0313,-3.0313,1,1,1,0.305,2.9501,1.3692,1.0494,254.6,0,0
6,0.037121,0.041937,0.041937,-3.2936,-3.1716,-3.1716,1,1,1,0.315,1.5120,1.3597,1.0488,254.3,0,0
7,0.039042,0.035636,0.035636,-3.2431,-3.3344,-3.3344,1,1,1,0.323,1.8947,1.3580,1.0357,252.9,0,0
8,0.040786,0.041979,0.041979,-3.1994,-3.1706,-3.1706,1,1,1,0.326,0.8664,1.3596,1.0367,252.0,0,0
9,0.044930,0.036511,0.036511,-3.1026,-3.3101,-3.3101,1,1,1,0.326,2.8645,1.3565,1.0266,249.0,0,0
10,0.048638,0.034252,0.034252,-3.0234,-3.3740,-3.3740,1,1,1,0.330,0.7260,1.3486,1.0130,245.0,0,0
11,0.039390,0.045493,0.045493,-3.2343,-3.0902,-3.0902,1,1,1,0.307,1.3005,1.3661,1.0236,251.4,0,0
12,0.034292,0.044809,0.044809,-3.3728,-3.1053,-3.1053,1,1,1,0.313,0.6238,1.3611,1.0315,249.2,0,0
13,0.034599,0.049704,0.049704,-3.3639,-3.0017,-3.0017,1,1,1,0.305,0.8023,1.3610,1.0481,250.5,0,0
14,0.039528,0.049768,0.049768,-3.2307,-3.0004,-3.0004,1,1,1,0.312,0.6230,1.3572,1.0625,249.2,0,0
15,0.044956,0.046164,0.046164,-3.1021,-3.0756,-3.0756,1,1,1,0.344,0.7661,1.3408,1.0680,244.9,0,0
16,0.048911,0.040542,0.040542,-3.0178,-3.2054,-3.2054,1,1,1,0.338,2.3207,1.3301,1.0617,237.6,0,0
17,0.061754,0.056280,0.056280,-2.7846,-2.8774,-2.8774,1,1,1,0.350,1.5228,1.3356,1.0865,246.3,0,0
18,0.060949,0.049962,0.049962,-2.7977,-2.9965,-2.9965,1,1,1,0.360,3.3792,1.3376,1.0958,244.5,0,0
19,0.073959,0.054480,0.054480,-2.6042,-2.9099,-2.9099,1,1,1,0.343,0.7606,1.3372,1.1123,243.4,0,0
20,0.077112,0.054173,0.054173,-2.5625,-2.9156,-2.9156,1,1,1,0.349,0.6265,1.3252,1.1257,241.4,0,0
21,0.057405,0.048720,0.048720,-2.8576,-3.0217,-3.0217,1,1,1,0.376,1.0421,1.3077,1.1270,237.5,0,0
22,0.051433,0.061250,0.061250,-2.9675,-2.7928,-2.7928,1,1,1,0.367,1.1827,1.3022,1.1509,237.7,0,0
23,0.043494,0.055250,0.055250,-3.1351,-2.8959,-2.8959,1,1,1,0.388,1.0662,1.3048,1.1603,236.2,0,0
24,0.040206,0.048392,0.048392,-3.2137,-3.0284,-3.0284,1,1,1,0.382,1.8782,1.3067,1.1557,232.7,0,0
25,0.035707,0.045321,0.045321,-3.3324,-3.0940,-3.0940,1,1,1,0.385,0.7140,1.2891,1.1457,228.4,0,0
26,0.038965,0.042566,0.042566,-3.2451,-3.1567,-3.1567,1,1,1,0.377,0.7120,1.2899,1.1315,223.8,0,0
27,0.034392,0.038552,0.038552,-3.3699,-3.2557,-3.2557,1,1,1,0.402,0.9020,1.2752,1.1114,218.4,0,0
28,0.035140,0.033376,0.033376,-3.3484,-3.3999,-3.3999,1,1,1,0.401,1.9826,1.2722,1.0838,214.1,0,0
29,0.027204,0.034110,0.034110,-3.6044,-3.3782,-3.3782,1,1,1,0.391,0.6677,1.2919,1.0605,208.9,0,0
30,0.039405,0.039286,0.039286,-3.2339,-3.2369,-3.2369,1,1,1,0.395,0.8751,1.2977,1.0494,210.9,0,0
31,0.035549,0.035593,0.035593,-3.3368,-3.3356,-3.3356,1,1,1,0.372,1.1470,1.2793,1.0326,202.6,0,0
32,0.032755,0.035258,0.035258,-3.4187,-3.3451,-3.3451,1,1,1,0.370,0.6345,1.2781,1.0169,197.7,0,0
33,0.048810,0.031852,0.031852,-3.0198,-3.4467,-3.4467,1,1,1,0.385,1.1349,1.2479,0.9964,188.7,0,0
34,0.034276,0.028561,0.028561,-3.3733,-3.5557,-3.5557,1,0,0,0.360,1.1838,1.2572,0.9718,181.0,1,1
35,0.032138,0.032874,0.032874,-3.4377,-3.4151,-3.4151,1,1,1,0.346,0.8647,1.2705,0.9583,183.0,1,1
